,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,75,Collège Saint Joseph de Tivoli,Privé,97.53999999999999,14,95.5
2,105,Collège Sainte Marie Grand Lebrun,Privé,100,14.575,91.75
3,200,Collège Assomption Sainte Clotilde,Privé,99,13.375,94.25
4,234,Collège Saint Seurin,Privé,100,13.675,92.25
5,249,Collège Saint Genès La Salle,Privé,98.94,14.25,90.5
6,308,Collège Alain Fournier,Public,95.22,13.35,94
7,404,Collège Sainte Marie Bastide,Privé,99.26,13.350000000000001,91.5
8,566,Collège Emile Combes,Public,96,12.524999999999999,94.25
9,571,Collège Saint André,Public,94.86,12.850000000000001,93.5
10,1116,Collège Cassignol,Public,93.9,12.774999999999999,91
11,2828,Collège Cheverus,Public,94.67999999999999,12.575000000000001,85.25
12,2912,Collège Monsejour,Public,89.36,11.325,91.25
13,2982,Collège Albert Le Grand,Privé,99.4,13.175,81
14,3732,Collège Franscisco Goya,Public,93.24,12.55,83
15,4920,Collège Saint Louis Sainte Thérèse,Privé,91.8,11.675,81.75
16,5060,Collège Aliénor d'Aquitaine,Public,84.66,11.25,85
17,5277,Collège Blanqui,Public,85.06,10.424999999999999,86.5
18,5383,Collège Léonard Lenoir,Public,82.46000000000001,10.8,85.5
19,5684,Collège Le Mirail,Privé,86.36,10.5,83.25
20,5703,Collège Casimir Fidèle,Public,84.67999999999999,9.275,88
21,6139,Collège Edouard Vaillant,Public,77.67999999999999,9.45,86.25
22,6397,Collège Jacques Ellul,Public,71.92,9.225,86.75
23,6725,Collège Notre-Dame,Privé,90.82000000000001,11.200000000000001,65.25
24,6780,Collège Toni Morrison,Public,71.5,7.25,83
25,6816,Collège Alice Milliat,Public,63.5,7.3,81.5
