,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,85,Collège Saint Barthélemy,Privé,99.8,14.4,93
2,180,Collège Stanislas,Privé,99.8,14.8,89.25
3,203,Collège Blanche de Castille,Privé,99.8,14,91.75
4,462,Collège Sasserno,Privé,99.4,12.75,93
5,558,Collège du Colombier Sainte Thérèse,Privé,99.56,13.9,88.25
6,595,Collège Nazareth,Privé,99.4,13.275000000000002,90.25
7,1646,Collège Saint Joseph,Privé,99.1,12.35,88.5
8,1774,Collège Henri Matisse,Public,94.4,12.350000000000001,89.75
9,2643,Collège Don Bosco,Privé,100,12,86
10,2713,Collège Or Torah,Privé,98.60000000000001,12.95,83
11,2885,Collège L'Archet,Public,94.42,11.399999999999999,89.25
12,3442,Collège Raoul Dufy,Public,93.12,11.125,89
13,3945,Collège Port Lympia,Public,91.66,10.725000000000001,89
14,4859,Collège Parc Impérial,Public,89.53999999999999,10.175,88
15,5363,Collège Roland Garros,Public,84.52000000000001,10.4,86.25
16,5371,Collège Valéri,Public,88.17999999999999,10.3,85.25
17,5601,Collège Ségurane,Public,89.47999999999999,9.850000000000001,85
18,5755,Collège Jean-Henri Fabre,Public,83.8,9.3,87.75
19,5906,Collège Frédéric Mistral,Public,79.72,9.200000000000001,88.5
20,6233,Collège Jean Giono,Public,82.52000000000001,9.100000000000001,85
21,6507,Collège Alphonse Daudet,Public,84.36,8.975,81.5
22,6615,Collège Jules Romains,Public,74.94,8.35,84.75
23,6643,Collège Simone Veil,Public,76.1,8.2,84
24,6654,Collège International Joseph Vernier,Public,80.42,9.475,77.75
25,6669,Collège Louis Nucéra,Public,75.86,8.25,83.25
26,6684,Collège Jean Rostand,Public,82.72,8.35,79.75
27,6707,Collège Antoine Risso,Public,85.64,9.275,74.75
28,6781,Collège Maurice Jaubert,Public,70.16,7.299999999999999,83.25
