,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,222,Collège Blanche de Castille,Privé,99.74,13.9,91.5
2,233,Collège Stanislas,Privé,99.44000000000001,14.75,88.5
3,241,Collège Saint-Barthélémy,Privé,99.82000000000001,14.25,90
4,300,Collège Sainte-Thérèse du Colombier,Privé,99.32000000000001,14.399999999999999,89
5,538,Collège Nazareth,Privé,100,13.5,89.5
6,576,Collège Sasserno,Privé,99.8,12.7,92
7,1543,Collège Henri Matisse,Public,95.97999999999999,12.2,90.5
8,2357,Collège de l'Archet,Public,95.67999999999999,11.55,90
9,3001,Collège Saint-Joseph,Privé,98.46000000000001,12.2,84.5
10,3130,Collège Don Bosco,Privé,99.47999999999999,12.25,83.5
11,3749,Collège Raoul Dufy,Public,93.16,11.350000000000001,87
12,3927,Collège Port Lympia,Public,93.88000000000001,10.8,88
13,4856,Collège Parc Impérial,Public,88.83999999999999,10.1,88.5
14,5118,Collège Frédéric Mistral,Public,85.46000000000001,9.3,91
15,5137,Collège Roland Garros,Public,86.54,10.45,86.5
16,5387,Collège Ségurane,Public,86.2,9.9,87
17,5498,Collège Jean-Henri Fabre,Public,84.67999999999999,9.149999999999999,89.5
18,5503,Collège Valéri,Public,90.28,10.100000000000001,84
19,5893,Collège Jean Giono,Public,86.34,9.100000000000001,86
20,6378,Collège Alphonse Daudet,Public,87.86,9,79.5
21,6486,Collège Jean Rostand,Public,91.26,8.4,78
22,6513,Collège international Joseph Vernier,Public,84.44000000000001,9.7,75
23,6529,Collège Simone Veil,Public,76.16,8.4,82
24,6533,Collège Louis Nucera,Public,78.24,8.149999999999999,82
25,6541,Collège Antoine Risso,Public,86.88,8.95,75.5
26,6558,Collège Jules Romains,Public,72.16,7.9,84
27,6605,Collège Maurice Jaubert,Public,71.60000000000001,7.4,83
