,Rang national,Nom de l'établissement,Commune,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
39,474,Collège Saint-Exupéry,Paris 14,Public,97.06,12.55,94.5
40,494,Collège Sainte-Jeanne Elisabeth,Paris 07,Privé,99.78,14.8,85.5
41,511,Collège Victor Duruy,Paris 07,Public,95.34,12.95,93.5
42,555,Collège Carnot,Paris 17,Public,96.82000000000001,13.100000000000001,92
43,635,Collège Gabriel Fauré,Paris 13,Public,90.66000000000001,12.6,95.5
44,646,Collège Ecole active bilingue Monceau,Paris 17,Privé,100,14.7,84.5
45,648,Collège Condorcet,Paris 08,Public,95.8,13.149999999999999,91.5
46,651,Collège Notre-Dame de France,Paris 13,Privé,99.58,15.75,81
47,654,Collège Pierre Jean de Béranger,Paris 03,Public,95.9,12.55,93.5
48,676,Collège Alphonse de Lamartine,Paris 09,Public,95.08,12.75,93
49,684,Collège Eugène Napoléon Saint-Pierre Fourier,Paris 12,Privé,97.32000000000001,13.2,90.5
50,741,Collège Saint-Germain de Charonne,Paris 20,Privé,97.28,13.4,89.5
51,777,Collège Sainte-Louise,Paris 20,Privé,98.42,13.35,89
52,834,Collège Beaumarchais,Paris 11,Public,92.24,12.8,93
53,841,Collège Sainte-Elisabeth,Paris 15,Privé,99.38,14.3,85
54,871,Collège Claude Monet,Paris 13,Public,90.14000000000001,12.55,94.5
55,923,Collège Octave Gréard,Paris 08,Public,95.1,13.35,89.5
56,946,Collège Claude Debussy,Paris 15,Public,91.3,13.3,91
57,954,Collège Buffon,Paris 15,Public,87.92,12.95,93.5
58,957,Collège Saint-Georges,Paris 19,Privé,98.94,13.149999999999999,88.5
59,970,Collège Jean de La Fontaine,Paris 16,Public,94.64000000000001,12.75,91.5
60,1099,Collège Yvonne le Tac,Paris 18,Public,94.17999999999999,13.05,90
61,1248,Collège Saint-Joseph,Paris 15,Privé,98.76,13.65,85.5
62,1249,Collège Honoré de Balzac,Paris 17,Public,93.82000000000001,11.75,94
63,1251,Collège Pierre de Ronsard,Paris 17,Public,91.04,12.350000000000001,93
64,1330,Collège Saint-Vincent,Paris 18,Privé,95.46,12.05,92
65,1333,Collège Charlemagne,Paris 04,Public,94.91999999999999,12.25,91.5
66,1337,Collège Janson de Sailly,Paris 16,Public,95.64,12.6,90
67,1362,Collège André Malraux,Paris 17,Public,93.68,12.65,90.5
68,1388,Collège Jules Ferry,Paris 09,Public,91.58,11.85,94
69,1445,Collège Paul Gauguin,Paris 09,Public,93.06,12.05,92.5
70,1529,Collège Georges Courteline,Paris 12,Public,94.11999999999999,11.7,93
71,1616,Collège Saint-Louis,Paris 18,Privé,94.64,12.7,89
72,1670,Collège Moulin des Prés,Paris 13,Public,90.53999999999999,12.25,92
73,1807,Collège Georges Duhamel,Paris 15,Public,91.5,12,92
74,1849,Collège Jean Moulin,Paris 14,Public,89.84,11.850000000000001,93
75,1857,Collège Paul Bert,Paris 14,Public,93.06,12.05,91
76,1863,Collège Lucien de Hirsch,Paris 19,Privé,99.47999999999999,13.2,84.5
77,1962,Collège César Franck,Paris 02,Public,91.75999999999999,12.1,91
78,1969,Collège Françoise Seligmann,Paris 10,Public,91.56,11.100000000000001,94.5
79,2097,Collège Alain Fournier,Paris 11,Public,91.44000000000001,11.7,92
80,2176,Collège Jacques Decour,Paris 09,Public,89.2,12.15,91
81,2224,Collège Jean-François Oeben,Paris 12,Public,92.94,11.399999999999999,92
82,2241,Collège Victor Hugo,Paris 03,Public,92.82000000000001,12.55,88
83,2275,Collège de l'Assomption,Paris 16,Privé,99.42,13.649999999999999,81.5
84,2319,Collège Guy Flavien,Paris 12,Public,88.17999999999999,11.7,92.5
85,2337,Collège Roland Dorgelès,Paris 18,Public,90.24000000000001,11.6,92
86,2338,Collège Camille Sée,Paris 15,Public,89.94,12.5,89
87,2404,Collège Raymond Queneau,Paris 05,Public,96.02000000000001,13.05,84.5
88,2411,Collège Rodin,Paris 13,Public,92.58,11.7,90.5
89,2470,Collège Lucie Aubrac,Paris 11,Public,87,10.95,95
90,2496,Collège Pilâtre de Rozier,Paris 11,Public,91.17999999999999,11.899999999999999,90
91,2516,Collège Sainte-Geneviève,Paris 06,Privé,97.72,12.3,86
92,2567,Collège Anne Frank,Paris 11,Public,91.41999999999999,11.95,89.5
93,2746,Collège Hélène Boucher,Paris 20,Public,86.42,11.2,93.5
94,2989,Collège Louise Michel,Paris 10,Public,90.88,12.05,88
95,3095,Collège Claude Chappe,Paris 19,Public,85.74,11.95,90
96,3119,Collège Françoise Dolto,Paris 20,Public,85.06,10.85,94
97,3152,Collège François Couperin,Paris 04,Public,94.36,12.95,83
98,3267,Collège Henri Matisse,Paris 20,Public,87.04,11.5,90.5
99,3281,Collège Beth Hanna,Paris 19,Privé,96.96000000000001,12.1,84.5
100,3289,Collège La Rose blanche,Paris 17,Public,83.4,11.6,91.5
101,3372,Collège Charles Péguy,Paris 19,Public,86.74000000000001,11.15,91.5
102,3487,Collège Voltaire,Paris 11,Public,87.74,11.5,89.5
103,3531,Collège N'R Hatorah,Paris 19,Privé,100,14.4,74.5
104,3561,Collège Evariste Galois,Paris 13,Public,92.63999999999999,9.85,93
105,3598,Collège Gustave Flaubert,Paris 13,Public,88.22,10.899999999999999,91
106,3615,Collège Montgolfier,Paris 03,Public,90.1,11.1,89.5
107,3644,Collège Georges Leven,Paris 12,Privé,93.4,10.7,89.5
108,3649,Collège Jacques Prévert,Paris 06,Public,92.66,11.5,87
109,3663,Collège Jules Romains,Paris 07,Public,94.86,12.25,83.5
110,3755,Collège Paul Verlaine,Paris 12,Public,87.67999999999999,10.8,91
111,3774,Collège Madame de Staël,Paris 15,Public,86.82000000000001,11.6,88.5
112,3809,Collège Maurice Ravel,Paris 20,Public,88.14,10.55,91.5
113,4149,Collège Saint Jean Gabriel,Paris 04,Privé,91.72,12.8,81
114,4156,Collège Molière,Paris 16,Public,91.52000000000001,11.95,84
115,4164,Collège la Grange aux Belles,Paris 10,Public,82.53999999999999,10.5,92.5
116,4229,Collège Marie Curie,Paris 18,Public,85.28,10.399999999999999,91.5
117,4261,Collège Colette Besson,Paris 20,Public,84.64,10.15,92.5
118,4335,Collège Saint-Sulpice,Paris 06,Privé,90.97999999999999,10.5,88.5
119,4358,Collège Georges Braque,Paris 13,Public,84.38,11.5,87.5
120,4412,Collège Edouard Pailleron,Paris 19,Public,83.68,11.8,86.5
121,4429,Collège Jean Baptiste Poquelin,Paris 01,Public,90.12,10.9,87
122,4440,Collège Saint-Honoré d'Eylau,Paris 16,Privé,96.26,14.1,73.5
123,4500,Collège Jules Verne,Paris 12,Public,83.42,11.149999999999999,88.5
124,4507,Collège George Sand,Paris 13,Public,87.02000000000001,10.45,89.5
125,4528,Collège André Citroën,Paris 15,Public,88.84,11.95,83.5
126,4589,Collège Georges Brassens,Paris 19,Public,81.94000000000001,10.5,91
127,4613,Collège Flora Tristan,Paris 20,Public,82.82000000000001,9.649999999999999,93.5
128,4699,Collège Alphonse Daudet,Paris 14,Public,87.74,11,86.5
129,4830,Collège Stéphane Mallarmé,Paris 17,Public,81,10.3,91
130,4861,Collège Paul Valéry,Paris 12,Public,84.28,10.75,88
131,4989,Collège Modigliani,Paris 15,Public,81.38,10.55,89
132,4997,Collège Antoine Coysevox,Paris 18,Public,81.10000000000001,10.7,
133,5031,Collège Camille Claudel,Paris 13,Public,77.85999999999999,10.75,89.5
134,5186,Collège Léon Gambetta,Paris 20,Public,83.46000000000001,9.7,90
135,5204,Collège Robert Doisneau,Paris 20,Public,84.5,9.399999999999999,90.5
136,5219,Collège Bernard Palissy,Paris 10,Public,87.42,10.350000000000001,86
137,5274,Collège Guillaume Budé,Paris 19,Public,79.66,9.7,91
138,5337,Collège Jean Baptiste Clément,Paris 20,Public,82.41999999999999,9.7,89.5
139,5353,Collège Georges Rouault,Paris 19,Public,84.34,9.15,90.5
140,5363,Collège Valmy,Paris 10,Public,72.96,10.850000000000001,89
141,5459,Collège Maurice Utrillo,Paris 18,Public,80.34,9.7,89.5
142,5509,Collège Guillaume Apollinaire,Paris 15,Public,83.02000000000001,11.05,83.5
143,5557,Collège Sonia Delaunay,Paris 19,Public,80.92,8.6,92.5
144,5617,Collège Edgar Varèse,Paris 19,Public,80.88,10.5,85.5
145,5686,Collège Elsa Triolet,Paris 13,Public,83,9.95,86
146,5788,Collège Thomas Mann,Paris 13,Public,84.17999999999999,10.15,84
147,5791,Collège Mozart,Paris 19,Public,82.11999999999999,9.8,86
148,5799,Collège Suzanne Lacore Paris Nord Est,Paris 19,Public,75.78,9.05,91
149,5803,Collège Edmond Michelet,Paris 19,Public,79.38,9.5,88
150,5869,Collège Germaine Tillion,Paris 12,Public,76.1,10.3,86
151,5870,Collège Hector Berlioz,Paris 18,Public,83.275,9.2,87
152,5917,Collège Claude Bernard,Paris 16,Public,82.74,10.15,83.5
153,5998,Collège Jean Perrin,Paris 20,Public,81.66,9.5,85.5
154,6001,Collège Alberto Giacometti,Paris 14,Public,81.88000000000001,9.9,84
155,6047,Collège Georges Méliès,Paris 19,Public,80.11999999999999,8.95,87.5
156,6087,Collège Lucie Faure,Paris 20,Public,73.66,9.55,87.5
157,6097,Collège Henri Bergson,Paris 19,Public,83.66,9.7,83
158,6146,Collège Sinaï,Paris 18,Privé,97.275,12.9,66
159,6173,Collège Boris Vian,Paris 17,Public,76.32000000000001,9.1,87
160,6179,Collège Georges Clemenceau,Paris 18,Public,78.54,8.4,88.5
161,6287,Collège Pierre Mendès-France,Paris 20,Public,78.46000000000001,8.65,86
162,6366,Collège François Villon,Paris 14,Public,73.44000000000001,9.1,85
163,6454,Collège Aimé Césaire,Paris 18,Public,70.9,9.9,81.5
164,6469,Collège Gérard Philipe,Paris 18,Public,81.72,8.850000000000001,80.5
165,6474,Collège Marx Dormoy,Paris 18,Public,81.46000000000001,9.149999999999999,79.5
166,6487,Collège Daniel Mayer,Paris 18,Public,77.74,7.6,86
167,6564,Collège Catherine Labouré,Paris 14,Privé,88.22500000000001,10.600000000000001,68
168,6660,Collège Ozar Hatorah,Paris 11,Privé,85.85999999999999,9.05,65
