,Rang national,Nom de l'établissement,Commune,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,1,Collège Blomet,Paris 15,Privé,99.76,16.299999999999997,98
2,3,Collège Saint-Louis de Gonzague,Paris 16,Privé,100,16.35,94
3,9,Collège Fénelon Sainte-Marie,Paris 08,Privé,99.16,15.55,94.5
4,16,Collège Saint-Ambroise,Paris 11,Privé,100,15.55,93.5
5,23,Collège Henri IV,Paris 05,Public,99,14.75,96
6,35,Collège L'Ecole alsacienne,Paris 06,Privé,98.28,14.7,95.5
7,38,Collège des Francs Bourgeois,Paris 04,Privé,99.76,15.05,93.5
8,44,Collège Stanislas,Paris 06,Privé,99.67999999999999,16.8,87
9,46,Collège Notre-Dame de Sion,Paris 06,Privé,99.16,15.1,93
10,49,Collège Soeur Rosalie,Paris 05,Privé,99.8,15.3,91.5
11,52,Collège Sainte-Clotilde,Paris 12,Privé,97.7,14.35,95.5
12,54,Collège Bossuet-Notre-Dame,Paris 10,Privé,100,15.5,90.5
13,68,Collège Rocroy Saint-Vincent de Paul,Paris 10,Privé,98.58,14.65,93.5
14,82,Collège Gerson,Paris 16,Privé,99.56,14.75,92
15,93,Collège Saint-Jean de Passy,Paris 16,Privé,98.92,15.1,90.5
16,103,Collège Saint-Michel de Picpus,Paris 12,Privé,99.22,14.8,91
17,105,Collège La Salle - Notre-Dame de la Gare,Paris 13,Privé,98.32000000000001,13.3,96.5
18,112,Collège La Rochefoucauld,Paris 07,Privé,99.52000000000001,15.25,89
19,113,Collège Pierre Alviset,Paris 05,Public,98.12,14.100000000000001,93.5
20,123,Collège Sévigné,Paris 05,Privé,99.53999999999999,15.600000000000001,87.5
21,125,Collège Pascal,Paris 16,Privé,100,15.25,88.5
22,140,Collège Montaigne,Paris 06,Public,98.16,13.649999999999999,94.5
23,141,Collège Jean-Baptiste Say,Paris 16,Public,94.58000000000001,13.9,95
24,153,Collège Saint-Michel des Batignolles,Paris 17,Privé,98.38000000000001,14.25,92
25,154,Collège Yabné,Paris 13,Privé,100,14.5,90.5
26,164,Collège Massillon,Paris 04,Privé,100,14.3,91
27,174,Collège Lavoisier,Paris 05,Public,98.08,13.75,93.5
28,192,Collège Notre-Dame des Oiseaux,Paris 16,Privé,100,14.6,89.5
29,193,Collège Sainte-Ursule Louise de Bettignies,Paris 17,Privé,100,14.45,90
30,248,Collège La Bruyère Sainte-Isabelle,Paris 14,Privé,100,14.350000000000001,89.5
31,260,Collège Sainte-Marie,Paris 13,Privé,95.84,13.2,95
32,261,Collège de la Tour,Paris 16,Privé,100,16.049999999999997,83.5
33,264,Collège Charles Péguy,Paris 11,Privé,100,14.6,88.5
34,293,Collège Notre-Dame de Lourdes,Paris 20,Privé,99.53999999999999,14.1,90
35,306,Collège Paul Claudel d'Hulst,Paris 07,Privé,99.44,14.2,89.5
36,318,Collège Chaptal,Paris 08,Public,97.6,13.350000000000001,93
37,394,Collège Rognoni Ecole des enfants du Spectacle,Paris 05,Public,98.82000000000001,14.3,88.5
38,405,Collège de l'Alma,Paris 07,Privé,99.17999999999999,14.8,86.5
