,Rang national,Nom de l'établissement,Commune,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,1,Collège Blomet,Paris 15,Privé,100,16.349999999999998,94.75
2,3,Collège Saint Louis de Gonzague,Paris 16,Privé,100,16.450000000000003,94.25
3,10,Collège Fénelon-Sainte Marie,Paris 08,Privé,99.4,15.575,95
4,19,Collège Saint Ambroise,Paris 11,Privé,100,15.625,93.5
5,23,Collège Stanislas,Paris 06,Privé,99.88,16.725,89.5
6,30,Collège Henri IV,Paris 05,Public,99.2,14.625,95.5
7,39,Collège Ecole Alsacienne,Paris 06,Privé,98.84,14.825,94
8,44,Collège Les Francs Bourgeois,Paris 04,Privé,100,15.025,92.5
9,46,Collège Sainte Clotilde,Paris 12,Privé,98.14,14.675,94.25
10,52,Collège Sévigné,Paris 05,Privé,100,15.725000000000001,89.5
11,54,Collège Bossuet-Notre-Dame,Paris 10,Privé,100,15.425,90.5
12,58,Collège Notre-Dame de Sion,Paris 06,Privé,99.8,15.25,91
13,62,Collège La Rochefoucauld,Paris 07,Privé,100,15.275,90.75
14,68,Collège Saint Michel de Picpus,Paris 12,Privé,99.7,14.875,92
15,86,Collège Saint Michel des Batignolles,Paris 17,Privé,98.56,14.450000000000001,93.25
16,103,Collège Ste Ursule-Louise de Bettignies,Paris 17,Privé,100,14.65,91.5
17,109,Collège Notre-Dame de Lourdes,Paris 20,Privé,99.78,14.075000000000001,93.5
18,111,Collège La Tour,Paris 16,Privé,100,16.349999999999998,85.5
19,112,Collège Soeur Rosalie,Paris 05,Privé,99.2,14.975,90.5
20,119,Collège Gerson,Paris 16,Privé,99.56,14.95,90.25
21,127,Collège Massillon,Paris 04,Privé,100,14.475000000000001,91.5
22,147,Collège Lavoisier,Paris 05,Public,98.66,13.625,94.5
23,152,Collège La Bruyère-Sainte Isabelle,Paris 14,Privé,99.8,14.350000000000001,91.5
24,153,Collège Rocroy Saint Vincent de Paul,Paris 10,Privé,99.56,14.799999999999999,90
25,160,Collège Pierre Alviset,Paris 05,Public,97.6,14.174999999999999,92.75
26,171,Collège La Salle - Notre-Dame de La Gare,Paris 13,Privé,98.17999999999999,13.3,95.25
27,188,Collège Saint Jean de Passy,Paris 16,Privé,99.92,15.1,88
28,190,Collège Pascal,Paris 16,Privé,100,15.450000000000001,86.75
29,220,Collège Yabné,Paris 13,Privé,100,14.675,89
30,222,Collège Sainte Jeanne-Elisabeth,Paris 07,Privé,100,15.1,87.5
31,232,Collège Notre-Dame des Oiseaux,Paris 16,Privé,100,14.625,89
32,250,Collège Saint-Vincent-de-Paul,Paris 13,Privé,96.02000000000001,13.25,95
33,251,Collège Charles Péguy,Paris 11,Privé,99.8,14.875,88
34,282,Collège Montaigne,Paris 06,Public,97.97999999999999,13.274999999999999,93.75
35,335,Collège Paul Claudel d'Hulst,Paris 07,Privé,99.6,14.55,88
36,340,Collège Lamartine,Paris 09,Public,97.17999999999999,12.975,94.25
37,358,Collège Jean-Baptiste Say,Paris 16,Public,94.86,13.65,92.5
38,369,Collège Notre-Dame de France,Paris 13,Privé,99.58,15.725,83.5
39,388,Collège L'Alma,Paris 07,Privé,99.4,14.6,87.25
40,399,Collège Condorcet,Paris 08,Public,96.42,13.149999999999999,93.25
41,405,Collège Saint-Exupéry,Paris 14,Public,97.16,12.7,94.5
42,440,Collège Chaptal,Paris 08,Public,96.74,13.575,91.25
43,501,Collège Saint Pierre Fourier,Paris 12,Privé,97.64,13.575,90.5
44,533,Collège Rognoni,Paris 05,Public,99.2,14.274999999999999,87.25
45,588,Collège Carnot,Paris 17,Public,97.62,13.325000000000001,90.75
46,590,Collège Claude Monet,Paris 13,Public,91.06,12.775,95
47,606,Collège Pierre Jean de Béranger,Paris 03,Public,96.52000000000001,12.749999999999998,93
48,665,Collège Paul Gauguin,Paris 09,Public,96.42,12.425,93.75
49,679,Collège Sainte-Louise,Paris 20,Privé,99.22,13.125,90.25
50,744,Collège Claude Debussy,Paris 15,Public,93.72,13,92.25
51,771,Collège Charlemagne,Paris 04,Public,96.17999999999999,12.700000000000001,92.25
52,865,Collège Victor Duruy,Paris 07,Public,95.86,12.85,91.25
53,891,Collège Gabriel Fauré,Paris 13,Public,92.26,12.024999999999999,95.25
54,942,Ecole internationale Bilingue section Monceau,Paris 17,Privé,100,14.900000000000002,82.25
55,956,Collège Saint Georges,Paris 19,Privé,98.7,13.35,88
56,966,Collège Saint Joseph,Paris 15,Privé,99.6,13.825,86
57,985,Collège Jean de La Fontaine,Paris 16,Public,93.26,12.95,91.25
58,1007,Collège Octave Gréard,Paris 08,Public,95,13.25,89.5
59,1014,Collège Saint Vincent,Paris 18,Privé,97.38,12.774999999999999,90.25
60,1084,Collège Janson de Sailly,Paris 16,Public,96.24,12.5,91.25
61,1154,Collège Jules Ferry,Paris 09,Public,92.06,12.05,94
62,1174,Collège Saint Louis,Paris 18,Privé,95.53999999999999,12.825000000000001,90
63,1208,Collège Sainte Elisabeth,Paris 15,Privé,100,14.2,83.5
64,1242,Collège Beaumarchais,Paris 11,Public,93.24,12.625,91.25
65,1335,Collège Georges Courteline,Paris 12,Public,92.67999999999999,11.925,93.5
66,1375,Collège André Malraux,Paris 17,Public,94.22,12.799999999999999,89.75
67,1428,Collège Jean Moulin,Paris 14,Public,91.66,11.924999999999999,93.5
68,1435,Collège Lucien de Hirsch,Paris 19,Privé,100,13,86.75
69,1468,Collège Rodin,Paris 13,Public,92.1,11.975000000000001,93
70,1481,Collège Paul Bert,Paris 14,Public,91.6,12.15,92.5
71,1503,Collège Honoré de Balzac,Paris 17,Public,91.66,11.825,93.5
72,1551,Collège Buffon,Paris 15,Public,88.92,12.85,90.75
73,1655,Collège Moulin des Prés,Paris 13,Public,88.92,12.1,93
74,1671,Collège Saint Germain de Charonne,Paris 20,Privé,99.8,12.975000000000001,86
75,1688,Collège Camille Sée,Paris 15,Public,90.58,12.9,89.5
76,1712,Collège Montgolfier,Paris 03,Public,91,11.75,93.25
77,1714,Collège Jacques Decour,Paris 09,Public,92.2,12.274999999999999,91
78,1783,Collège Jean François Oeben,Paris 12,Public,92.86,11.35,93.75
79,1872,Collège Pierre de Ronsard,Paris 17,Public,89.56,12.475000000000001,90.75
80,1883,Collège Yvonne Le Tac,Paris 18,Public,93.53999999999999,12.775,88.25
81,1926,Collège Sainte Geneviève,Paris 06,Privé,97.97999999999999,12.700000000000001,86.75
82,1931,Collège Pilâtre de Rozier,Paris 11,Public,91.24,11.875,92
83,2165,Collège Raymond Queneau,Paris 05,Public,94.78,12.774999999999999,86.75
84,2234,Collège Anne Frank,Paris 11,Public,89.53999999999999,11.825000000000001,91.75
85,2329,Collège pour handicapés Morvan,Paris 14,Privé,91.95,9.1,100
86,2436,Collège Claude Chappe,Paris 19,Public,88.44,12.100000000000001,90.5
87,2483,Collège César Franck,Paris 02,Public,92.3,12.024999999999999,89.25
88,2487,Collège Guy Flavien,Paris 12,Public,87.47999999999999,11.8,91.75
89,2565,Collège Roland Dorgelès,Paris 18,Public,89.1,11.625,91.5
90,2582,Collège Françoise Seligmann,Paris 10,Public,90.36,11.325,92
91,2618,Collège Charles Péguy,Paris 19,Public,87.82000000000001,11.05,93.75
92,2659,Collège Louise Michel,Paris 10,Public,91.34,11.875,89.5
93,2669,Collège Voltaire,Paris 11,Public,89.14,11.3,92.25
94,2768,Collège Alain Fournier,Paris 11,Public,93.02000000000001,11.45,90
95,2866,Collège François Couperin,Paris 04,Public,93.38,12.825000000000001,84.75
96,2893,Collège L'Assomption,Paris 16,Privé,100,13.7,79.25
97,2966,Collège Jacques Prévert,Paris 06,Public,95.16,11.825,87.25
98,2991,Collège Françoise Dolto,Paris 20,Public,85.72,10.975000000000001,93.5
99,3151,Collège Maurice Ravel,Paris 20,Public,87.16,10.9,92.75
100,3158,Collège Beth Hanna,Paris 19,Privé,97.14,12.025,85.25
101,3206,Collège Victor Hugo,Paris 03,Public,94.02000000000001,12.45,84.75
102,3219,Collège Paul Verlaine,Paris 12,Public,87.03999999999999,10.925,92.5
103,3227,Collège Henri Matisse,Paris 20,Public,86.36,11.425,91
104,3267,Collège Jules Romains,Paris 07,Public,94.9,12.1,85.5
105,3272,Collège Lucie et Raymond Aubrac,Paris 11,Public,82.5,10.925,94
106,3346,Collège Georges Leven,Paris 12,Privé,94.38,10.65,90.5
107,3444,Collège Saint Jean Gabriel,Paris 04,Privé,98.44,12.375,82.75
108,3483,Collège Georges Duhamel,Paris 15,Public,86.64,11.9,88.5
109,3498,Collège N'r Hatorah,Paris 19,Privé,99.6,14.3,75.5
110,3634,Collège Evariste Galois,Paris 13,Public,91.53999999999999,9.950000000000001,93
111,3803,Collège Stéphane Mallarmé,Paris 17,Public,84.32000000000001,10.925,91.5
112,3877,Collège Hélène Boucher,Paris 20,Public,83.22,10.9,91.75
113,3949,Collège Alphonse Daudet,Paris 14,Public,87.97999999999999,11.025,89.25
114,4005,Collège Saint Honoré d'Eylau,Paris 16,Privé,97.82000000000001,13.925,75.5
115,4047,Collège Jean-Baptiste Poquelin,Paris 01,Public,92.1,11.3,86.5
116,4203,Collège Gustave Flaubert,Paris 13,Public,87.2,10.55,90.25
117,4238,Collège La rose blanche,Paris 17,Public,79.53999999999999,11.524999999999999,89.5
118,4275,Collège Georges Braque,Paris 13,Public,81.96000000000001,10.95,90.5
119,4315,Collège Jules Verne,Paris 12,Public,82.88,11.025,89.75
120,4457,Collège Saint Sulpice,Paris 06,Privé,92.5,10.5,87.5
121,4466,Collège George Sand,Paris 13,Public,88.16,10.575,88.75
122,4475,Collège Marie Curie,Paris 18,Public,80.08,10.25,92.75
123,4483,Collège La Grange aux Belles,Paris 10,Public,82.17999999999999,10.675,90.5
124,4526,Collège Modigliani,Paris 15,Public,82.67999999999999,10.5,90.75
125,4631,Collège Edouard Pailleron,Paris 19,Public,83.82000000000001,11.774999999999999,85.5
126,4690,Collège Antoine Coysevox,Paris 18,Public,82.53333333333333,10.8,
127,4696,Collège Flora Tristan,Paris 20,Public,83.84,9.600000000000001,92.75
128,4769,Collège Georges Brassens,Paris 19,Public,86.3,10.55,88.25
129,4777,Collège André Citroën,Paris 15,Public,87.2,11.024999999999999,86.25
130,4820,Collège Colette Besson,Paris 20,Public,81.82000000000001,10.225,90.75
131,4903,Collège Léon Gambetta,Paris 20,Public,79.97999999999999,9.675,93
132,4973,Collège Valmy,Paris 10,Public,75.67999999999999,11.175,89
133,5027,Collège Molière,Paris 16,Public,87.42,11.45,83.5
134,5037,Collège Paul Valéry,Paris 12,Public,83.7,10.875,86.75
135,5047,Collège Germaine Tillion,Paris 12,Public,81.36,10.45,89
136,5148,Collège Edgar Varèse,Paris 19,Public,81.47999999999999,10.575,88
137,5203,Collège Lucie Faure,Paris 20,Public,78.5,10.374999999999998,89.5
138,5231,Collège de Stael,Paris 15,Public,84.78,11.05,84.75
139,5241,Collège Jean-Baptiste Clément,Paris 20,Public,78.9,9.7,91.5
140,5244,Collège Robert Doisneau,Paris 20,Public,82.44,9.975000000000001,89.25
141,5281,Collège Guillaume Budé,Paris 19,Public,83.14,9.9,89
142,5292,Collège Bernard Palissy,Paris 10,Public,85.1,10.55,86
143,5354,Collège Thomas Mann,Paris 13,Public,88.1,10.125,86
144,5455,Collège Maurice Utrillo,Paris 18,Public,80.12,9.5,90.5
145,5645,Collège Henri Bergson,Paris 19,Public,84.96000000000001,10.225000000000001,85
146,5649,Collège Claude Bernard,Paris 16,Public,84.34,10.425,84.5
147,5715,Collège Sonia Delaunay,Paris 19,Public,78.72,9.075000000000001,90.75
148,5733,Collège Georges Rouault,Paris 19,Public,83.62,9.1,88.75
149,5787,Collège Alberto Giacometti,Paris 14,Public,82.1,9.850000000000001,86.25
150,5821,Collège Wolfgang Amadeus Mozart,Paris 19,Public,80.17999999999999,9.474999999999998,88
151,5829,Collège Saint François de Sales - Thérèse Chappuis,Paris 07,Privé,89.45,10.8,80
152,5844,Collège Georges Méliès,Paris 19,Public,83.1,9.2,87.75
153,5871,Collège Hector Berlioz,Paris 18,Public,79.46666666666667,9.45,88
154,5875,Collège Georges Clémenceau,Paris 18,Public,81.22,8.975000000000001,89
155,5899,Collège Camille Claudel,Paris 13,Public,72.78,10.3,87.25
156,5968,Collège Sinaï,Paris 18,Privé,97.975,13,68.33333333333333
157,5992,Collège Suzanne LACORE,Paris 19,Public,76.16,9,89.75
158,6050,Collège Guillaume Apollinaire,Paris 15,Public,84.92,10.825,79.75
159,6057,Collège Edmond Michelet,Paris 19,Public,76.5,9.45,87.5
160,6168,Collège Elsa Triolet,Paris 13,Public,81.67999999999999,10.275,81.75
161,6280,Collège Heikhal Menahem Sinai,Paris 20,Privé,100,10.600000000000001,73
162,6318,Collège Pierre Mendès France,Paris 20,Public,80,8.45,87.25
163,6354,Collège Marx Dormoy,Paris 18,Public,81.72,8.899999999999999,84.75
164,6381,Collège Boris Vian,Paris 17,Public,74.22,9.325000000000001,85.75
165,6425,Collège Gérard Philipe,Paris 18,Public,76.94,9,85.25
166,6486,Collège Jean Perrin,Paris 20,Public,77,8.925,84.75
167,6509,Collège Privé Catherine Labouré,Paris 14,Privé,90.92,10.675,73.25
168,6565,Collège Aimé Césaire,Paris 18,Public,68.03999999999999,9.925,83
169,6587,Collège François Villon,Paris 14,Public,73.76,9.35,82.25
170,6687,Collège Daniel Mayer,Paris 18,Public,75.82000000000001,7.325,85.75
171,6827,Collège Saint Louis,Paris 06,Privé,68.85,8,76
172,6832,Collège Ozar Hatorah,Paris 11,Privé,86.52000000000001,9.375,63.25
