,Rang national,Nom de l'établissement,Commune,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
119,4482,Collège la Grange aux Belles,Paris 10,Public,83.11666666666666,10.6,90.66666666666667
120,4508,Collège Jules Verne,Paris 12,Public,83.68333333333334,11,89
121,4589,Collège Stéphane Mallarmé,Paris 17,Public,81.5,10.466666666666667,91.33333333333333
122,4664,Collège Colette Besson,Paris 20,Public,84.36666666666667,10.133333333333333,91
123,4709,Collège Saint-Sulpice,Paris 06,Privé,91.64999999999999,10.433333333333334,87
124,4722,Collège Modigliani,Paris 15,Public,81.64999999999999,10.633333333333333,90
125,4743,Collège Édouard Pailleron,Paris 19,Public,83.56666666666668,11.666666666666666,85.66666666666667
126,4784,Collège Bernard Palissy,Paris 10,Public,88.01666666666667,10.733333333333334,87
127,4814,Collège Léon Gambetta,Paris 20,Public,83.38333333333334,9.733333333333334,92
128,4830,Collège André Citroën,Paris 15,Public,87.86666666666666,11.366666666666665,84.66666666666667
129,5011,Collège Valmy,Paris 10,Public,74.8,11.1,89.66666666666667
130,5014,Collège George Sand,Paris 13,Public,86.35000000000001,10.4,87.66666666666667
131,5050,Collège Antoine Coysevox,Paris 18,Public,81.10000000000001,10.7,
132,5059,Collège Paul Valéry,Paris 12,Public,85.06666666666666,10.966666666666667,86
133,5060,Collège Flora Tristan,Paris 20,Public,81.51666666666667,9.4,92.66666666666667
134,5131,Collège Madame de Staël,Paris 15,Public,84.85000000000001,11.366666666666665,84.33333333333333
135,5147,Collège Guillaume Budé,Paris 19,Public,81.05,9.9,90.66666666666667
136,5190,Collège Georges Brassens,Paris 19,Public,82.78333333333335,10.433333333333332,88
137,5365,Collège Edgar Varèse,Paris 19,Public,80.39999999999999,10.5,87.66666666666667
138,5452,Collège Thomas Mann,Paris 13,Public,85.81666666666666,10.233333333333334,86
139,5458,Collège Germaine Tillion,Paris 12,Public,77.41666666666667,10.566666666666666,88
140,5479,Collège Robert Doisneau,Paris 20,Public,83.91666666666667,9.7,88.33333333333333
141,5485,Collège Lucie Faure,Paris 20,Public,75.55,10.033333333333333,90.33333333333333
142,5571,Collège Henri Bergson,Paris 19,Public,85.71666666666665,10.2,85.33333333333333
143,5583,Collège Camille Claudel,Paris 13,Public,75.55,10.333333333333334,88.66666666666667
144,5607,Collège Jean Baptiste Clément,Paris 20,Public,80.68333333333332,9.6,89
145,5639,Collège Maurice Utrillo,Paris 18,Public,79.61666666666667,9.666666666666666,89
146,5681,Collège Georges Rouault,Paris 19,Public,83.78333333333335,9.233333333333334,88.66666666666667
147,5752,Collège Hector Berlioz,Paris 18,Public,82.42,9.45,88
148,5774,Collège Claude Bernard,Paris 16,Public,83.45,10.366666666666667,84.33333333333333
149,5803,Collège Mozart,Paris 19,Public,81.26666666666667,9.566666666666666,87.66666666666667
150,5912,Collège Guillaume Apollinaire,Paris 15,Public,82.01666666666667,10.766666666666666,82.33333333333333
151,5925,Collège Alberto Giacometti,Paris 14,Public,81.56666666666668,10,85
152,5958,Collège Sonia Delaunay,Paris 19,Public,79.93333333333334,8.633333333333333,90
153,5973,Collège Suzanne Lacore Paris Nord Est,Paris 19,Public,75.81666666666666,8.766666666666667,91
154,6012,Collège Georges Clemenceau,Paris 18,Public,79.45,8.633333333333335,89.66666666666667
155,6054,Collège Edmond Michelet,Paris 19,Public,77.31666666666666,9.433333333333334,87.33333333333333
156,6144,Collège Elsa Triolet,Paris 13,Public,83.33333333333333,10.1,82
157,6231,Collège Georges Méliès,Paris 19,Public,80.76666666666667,9.033333333333333,85.66666666666667
158,6245,Collège Sinaï,Paris 18,Privé,97.82,12.75,66.5
159,6248,Collège Boris Vian,Paris 17,Public,75.76666666666667,9.266666666666666,86.66666666666667
