,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,43,Collège Pierre Termier - Site Monplaisir,Privé,99.8,14.475,94.5
2,57,Collège Aux Lazaristes La Salle Fourvière,Privé,99.2,14.75,93
3,65,Collège Charles de Foucauld,Privé,99.74,14.55,93.25
4,74,Collège Institution des Chartreux,Privé,99.8,15.575,89.25
5,77,Collège Notre-Dame de Bellecombe,Privé,99.38,14.600000000000001,92.75
6,91,Collège Chevreul,Privé,99.46000000000001,14.875,91.25
7,195,Collège Chevreul Lestonnac,Privé,99.46000000000001,14.2,91.25
8,212,Collège Sainte Marie,Privé,98.72,14.275,91
9,221,Collège La Favorite Sainte Thérèse,Privé,99.67999999999999,14.125,91
10,246,Collège Fénelon,Privé,99.2,14.3,90.25
11,257,Collège Cité scolaire internationale,Public,99.3,14.7,88.75
12,283,Collège Les Chartreux-St Charles,Privé,100,15.3,86
13,289,Collège Saint Louis de la Guillotière,Privé,99,13.65,92
14,305,Collège Deborde,Privé,98.8,14.299999999999999,89.5
15,629,Collège La Tourette,Public,96.02000000000001,13.2,91.5
16,666,Collège Pierre Termier - Site Montchat,Privé,96.16,13.75,89.25
17,774,Collège Vendôme,Public,93.6,13.25,91.25
18,779,Collège Notre-Dame des Minimes,Privé,98.74,13,90.25
19,1376,Collège Clément Marot,Public,93.12,12.625,90.75
20,1601,Collège Saint Marc,Privé,98.4,12.975,86.75
21,1869,Collège Jean Moulin,Public,90.56,12.375,90.75
22,1871,Collège Bellecombe,Public,89.84,13.024999999999999,88.75
23,2508,Collège Antoine de Saint-Exupéry,Public,92.62,11.75,90
24,2973,Collège Professeur Dargent,Public,88.08,11.325000000000001,91.5
25,3125,Collège Saint Louis - Saint Bruno,Privé,94.38,12.7,84
26,3143,Collège Ampère,Public,91.47999999999999,12.125,87
27,3975,Collège Raoul Dufy,Public,86.16,11.625,87.75
28,3988,Collège Jean Perrin,Public,89.3,10.925,89
29,4065,Collège Jean Monnet,Public,89.14,11.8,85.75
30,4260,Collège Lacassagne,Public,87.94,10.2,91
31,4341,Collège Molière,Public,84.53999999999999,11.549999999999999,87.25
32,4695,Collège Gisèle Halimi,Public,88.5,10.2,89
33,4740,Collège Victor Grignard,Public,85.66,9.85,91
34,4831,Collège Georges Clémenceau,Public,82.66,10.625,89
35,5003,Collège Gilbert Dru,Public,82.53999999999999,10.475000000000001,88.75
36,5155,Collège Aux Lazaristes La Salle Croix Rousse,Privé,98.56,13.2,72.75
37,5578,Collège Saint Denis,Privé,92.88,12.275,75.5
38,5772,Collège Gabriel Rosset,Public,78.34,9.55,88.75
39,6004,Collège Jean de Verrazane,Public,80.2,9.700000000000001,85.75
40,6119,Collège Victor Schoelcher,Public,82.72,8.55,87.75
41,6262,Collège Jean Charcot,Public,80.9,9.6,83.5
42,6351,Collège Les Battières,Public,76.56,9.225000000000001,85.5
43,6458,Collège Jean Mermoz,Public,78.78,8.774999999999999,85
44,6473,Collège Henri Longchambon,Public,81.64,9.075000000000001,82.75
45,6547,Collège Alice Guy,Public,71.17999999999999,8.8,86.25
