,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,32,Centre scolaire Saint Paul (Collège),Privé,100,15.25,93
2,549,Collège Thérèse d'Avila,Privé,99.67999999999999,15.100000000000001,84
3,673,Collège Carnot,Public,94.02000000000001,13.45,91
4,1088,Collège Guy Mollet,Public,98.22,11.6,93.5
5,3360,Collège La Salle,Privé,94.32000000000001,11.9,86
6,3782,Collège Jean Jaurès,Public,90.72,10,92.5
7,4359,Collège Saint-Exupéry,Public,89.4,10.5,89
8,4471,Collège Notre-Dame de la Paix,Privé,95.82000000000001,12.100000000000001,80.5
9,4632,Collège Franklin,Public,90.9,10.600000000000001,87
10,4910,Collège Jean Zay,Public,96.76,9.399999999999999,87.5
11,5362,Collège Claude Lévi-Strauss,Public,78.34,10.1,89.5
12,5504,Collège Boris Vian,Public,81.88000000000001,9.6,89
13,5966,Collège Saint-Joseph,Privé,96.17999999999999,11.25,74
14,6150,Collège Martha Desrumaux,Public,78.42,9.8,84
15,6163,Collège Nina Simone,Public,81.84,8.95,85.5
16,6170,Collège Sainte-Claire,Privé,98.2,11.7,69.5
17,6255,Collège Saint-Joseph,Privé,99.12,9.649999999999999,75
18,6466,Collège Louise Michel,Public,76.97999999999999,8.1,85
19,6550,Collège Miriam Makeba,Public,83.2,8.7,77.5
20,6565,Collège Verlaine,Public,74.82000000000001,9.600000000000001,76.5
