,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,28,Collège Saint Paul,Privé,100,15.450000000000001,92.75
2,615,Collège Thérèse d'Avila,Privé,99.5,15.024999999999999,84
3,880,Collège international Carnot,Public,92.8,13,91.75
4,2251,Collège Guy Mollet,Public,95.12,11.45,91
5,3055,Collège La Salle,Privé,96.94,12,85.75
6,4049,Collège Jean Jaurès,Public,90.08,9.775,92.5
7,4166,Collège Antoine de Saint-Exupéry,Public,91.22,10.675,88.5
8,5451,Collège Franklin,Public,90.1,10.2,84.5
9,5507,Collège Jean Zay,Public,90.96000000000001,9.5,86.25
10,5561,Collège Boris Vian,Public,80.28,9.575,89.5
11,5661,Collège Claude Lévi Strauss,Public,80.42,10.075,87
12,5978,Collège Saint Joseph,Privé,96.96000000000001,11.375,74.25
13,6237,Collège Nina Simone,Public,82.86,8.975000000000001,85.25
14,6378,Collège Sainte Claire,Privé,97.36,11.7,69.25
15,6449,Collège Martha Desrumaux,Public,76.72,9.600000000000001,83
16,6483,Collège Saint Joseph,Privé,97.32000000000001,9.799999999999999,74.5
17,6496,Collège Miriam Makeba,Public,92.03999999999999,8.899999999999999,79.25
18,6640,Collège Paul Verlaine,Public,74.3,10.075000000000001,78.25
19,6706,Collège Louise Michel,Public,73.5,7.950000000000001,83.75
