,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,8,Collège de Provence,Privé,100,15.725,94.5
2,36,Collège Saint Eugène de Mazenod,Privé,100,14.05,96.5
3,67,Collège Pastre - Grande Bastide,Privé,100,14.925,91.75
4,82,Collège Notre-Dame de France,Privé,100,14.05,94.25
5,83,Collège Lacordaire,Privé,100,15.55,89
6,202,Collège Saint Joseph de La Madeleine,Privé,99.4,13.25,94.5
7,274,Collège Sainte Marie - Blancarde,Privé,100,13.75,91.5
8,295,Collège Sévigné,Privé,99.36,13.349999999999998,92.75
9,336,Collège Sainte Anne,Privé,98.74,12.975000000000001,93.75
10,391,Collège Chevreul Blancarde,Privé,99.6,13.924999999999999,89.5
11,459,Collège Cluny,Privé,98.58,13.2,91.75
12,624,Collège Chevreul Champavier,Privé,98.94,12.399999999999999,93.25
13,641,Collège Notre-Dame de La Jeunesse,Privé,100,12.75,91.5
14,749,Collège Saint Joseph Les Maristes,Privé,98.44,13.299999999999999,89.5
15,752,Collège Sainte Trinité,Privé,98.2,13.25,89.75
16,794,Cours Bastide (Collège),Privé,99,13.149999999999999,89.5
17,832,Collège Marseilleveyre,Public,92.7,12.225000000000001,94.75
18,1457,Collège Chape,Public,93.92,11.95,92.5
19,1802,Collège André Chénier,Public,91.03999999999999,11.45,94
20,1953,Collège Sylvain Menu,Public,90.17999999999999,12.25,91
21,1995,Collège Honoré Daumier,Public,91.97999999999999,11.950000000000001,91.25
22,2216,Collège Thiers,Public,93.08,12.549999999999999,88
23,2245,Collège Saint Charles Camas,Privé,98.86,12.725000000000001,85.25
24,2395,Collège Le Ruissatel,Public,86.6,11.175,94.5
25,2802,Collège Notre-Dame de La Viste,Privé,100,10.975000000000001,89
26,2848,Collège Ami,Privé,99.6,12.775,82.75
27,3047,Collège André Malraux,Public,88,11.125,92
28,3172,Collège Jean de BERNARDY ex LONGCHAMP,Public,89.66,10.55,93
29,3452,Collège Gaston Defferre,Public,88,10.850000000000001,91.75
30,3706,Collège st françois d'Assise,Privé,100,10.8,86.75
31,3981,Collège Hamaskaine,Privé,98.66666666666667,11.55,83.5
32,4160,Collège Gyptis,Public,86,10.5,91
33,4193,Collège Louis Pasteur,Public,81.47999999999999,10,94.25
34,4335,Collège Ariane Ascaride ex FRAISSINET,Public,81.03999999999999,10.475,92.25
35,4543,Collège Jean Malrieu,Public,90.38,10.975,86.25
36,4638,Collège Notre-Dame de La Major,Privé,96.12,10.349999999999998,86
37,4685,Collège Henri Margalhan,Privé,86.74,10.325,89.25
38,4686,Collège Jean Giono,Public,84.78,9.875,91.5
39,4803,Collège GBSE,Privé,100,13.200000000000001,74
40,5006,Collège Saint Bruno,Privé,88.64,10.2,87.5
41,5013,Collège Louis Armand,Public,80.16,9.7,92.25
42,5054,Collège de La Tour Sainte,Privé,96.08,10.575,83.25
43,5308,Collège François Villon,Public,75.26,10.175,90.75
44,5538,Collège du Sacré-Coeur,Privé,94.2,10.774999999999999,80.5
45,5664,Collège Pierre Puget,Public,85.12,9.875,86
46,5714,Collège Yavné,Privé,100,11.35,75.25
47,5808,Collège Germaine Tillion,Public,81.3,9.675,87
48,5847,Collège ORT Léon Bramson,Privé,99.25,10.433333333333334,77.66666666666667
49,5905,Collège Roy d'Espagne,Public,81.56,9.3,87.5
50,6015,Collège Françoise DUPARC ex CHARTREUX (AVENUE DES),Public,84.36,9.025,86.5
51,6027,Collège Clair Soleil,Public,82.62,8.525,88.75
52,6038,Collège Pythéas,Public,74.38,8.275,92.5
53,6103,Collège L'Estaque,Public,73.12,8.575,91.25
54,6129,Collège Saint Joseph,Privé,87.42,9.700000000000001,82
55,6162,Collège Edgar Quinet,Public,85.47999999999999,8.375,87
56,6164,Collège Les Bartavelles,Public,73.64,8.95,89.25
57,6219,Collège Henri Barnier,Public,75.16,8.950000000000001,88.25
58,6250,Collège Auguste Renoir,Public,77.34,8.275,89.5
59,6258,Collège Adolphe Monticelli,Public,80.67999999999999,10.425,80.75
