,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,12,Collège de Provence,Privé,99.78,15.7,93.5
2,53,Collège Saint-Eugène de Mazenod,Privé,100,13.8,96.5
3,69,Collège Lacordaire,Privé,100,15.6,89.5
4,85,Collège Pastré - Grande Bastide,Privé,100,14.8,91.5
5,136,Collège Notre-Dame de France,Privé,100,13.45,94.5
6,200,Collège Saint-Joseph de la Madeleine,Privé,99.82000000000001,13,95
7,308,Collège Sainte-Marie-Blancarde,Privé,100,13.7,91
8,348,Collège Sévigné,Privé,99.32000000000001,13.5,91.5
9,382,Collège Sainte-Trinité,Privé,98.97999999999999,13,93
10,399,Collège Notre-Dame de la Jeunesse,Privé,100,13,92.5
11,415,Collège Cluny,Privé,98.96,13.05,92.5
12,478,Collège Chevreul Blancarde,Privé,100,13.95,88.5
13,632,Collège Saint-Joseph les Maristes,Privé,99.05999999999999,13.100000000000001,90.5
14,691,Collège Sainte-Anne,Privé,98.34,12.5,92.5
15,709,Collège cours Bastide,Privé,99.58,12.9,90.5
16,1087,Collège Marseilleveyre,Public,92.72,11.65,95.5
17,1211,Collège André Chénier,Public,92,11.45,96
18,1361,Collège Thiers,Public,93.24,12.7,90.5
19,1602,Collège Chevreul Champavier,Privé,97.08,12.3,89.5
20,1660,Collège Honoré Daumier,Public,94.96,12.05,91
21,1764,Collège Chape,Public,92.08,11.85,92.5
22,2350,Collège Le Ruissatel,Public,87.28,11.2,94.5
23,2620,Collège Sylvain Menu,Public,87.62,11.9,91
24,2755,Collège Ami,Privé,99.6,12.3,84.5
25,2966,Collège André Malraux,Public,85.4,11.1,93.5
26,3034,Collège Saint-Charles Camas,Privé,97.58,12.7,83
27,3206,Collège Notre-Dame de la Viste,Privé,100,11.1,87
28,3341,Collège Longchamp,Public,89.44000000000001,10.3,93.5
29,3367,Collège Louis Pasteur,Public,84.92,10.35,95
30,3403,Collège Saint-Charles,Privé,99.58,11.25,86
31,3718,Collège Jean Giono,Public,93.29999999999998,10.35,90.5
32,4292,Collège Gaston Defferre,Public,86.86,10.3,91
33,4418,Collège Henri Margalhan,Privé,89.93999999999998,10.5,88.5
34,4538,Collège Fraissinet,Public,83,10,92.5
35,4679,Collège Gyptis,Public,85.52,10.7,88.5
36,5018,Collège Saint-Bruno - La Salle,Privé,88.84,10.25,87
37,5046,Collège Ibn Khaldoun,Privé,100,11.7,77.5
38,5198,Collège Louis Armand,Public,77.78,9.600000000000001,92.5
39,5451,Collège Jean Malrieu,Public,87.47999999999999,10.5,84
40,5470,Collège François Villon,Public,76.2,10,90
41,5533,Ecole secondairee Bnei Elazar,Privé,100,13,70
42,5684,Collège Germaine Tillion,Public,84.53999999999999,9.5,87
43,5733,Collège du Roy d'Espagne,Public,82.52,8.899999999999999,89.5
44,5752,Collège Saint-Joseph,Privé,86.64,9.850000000000001,84.5
