,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,41,Collège Saint-Jean-Baptiste de La Salle,Privé,97.9,14.325,96
2,118,Collège Sainte Marie - La Salle,Privé,99.84,13.625,94.75
3,772,Collège Clémence Royer,Public,94.86,13.125000000000002,91.25
4,787,Collège L'Assomption,Privé,99.8,14.175,85.75
5,928,Collège Saint François-Régis,Privé,98.2,13.875,86.5
6,2475,Collège Camille Claudel,Public,90.4,12.3,89
7,2560,Collège Saint Roch,Privé,96.74,12.424999999999999,86
8,3895,Collège La Providence,Privé,98.84,11.350000000000001,84.5
9,4186,Collège Joffre,Public,88.06,11.275,87.5
10,4251,Collège Saint François d'Assise,Privé,93.42,12.025,82.75
11,4482,Collège Port Marianne,Public,90,10.3,89
12,5547,Establiment Segondari Calandreta Leon Còrdas (Collège),Privé,93.825,12,76.33333333333333
13,5719,Collège Marcel Pagnol,Public,82.2,9.575,87.75
14,5738,Collège François Rabelais,Public,86.58,9.200000000000001,87.25
15,5800,Collège Clémenceau,Public,84.92,10.475,83
16,5935,Collège Les Garrigues,Public,79.2,9.925,86
17,6223,Collège Fontcarrade,Public,83,10,81.75
18,6304,Collège Simone Veil,Public,83.6,9.55,82.25
19,6322,Collège Arthur Rimbaud,Public,78.7,8.65,87
20,6336,Collège Jeu de Mail,Public,83.17999999999999,10.825,77.75
21,6441,Collège Les Aiguerelles,Public,81.6,9.9,80.25
22,6453,Collège Croix d'Argent,Public,75.46000000000001,8.925,85.75
23,6729,Collège Les Escholiers de La Mosson,Public,71.6,7.575000000000001,84.5
24,6742,Collège Gérard Philipe,Public,74.72,8.350000000000001,80
