,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,26,Collège Emilie de Rodat,Privé,99.8,15.525,92.75
2,95,Collège Saint-Louis,Privé,99.4,13.600000000000001,95.5
3,100,Collège Le Caousou,Privé,99.46000000000001,14.575,92
4,101,Collège Collègi Calandreta del País Tolzan,Privé,100,14.8,91
5,158,Collège Saint-Nicolas,Privé,99,13.6,94.25
6,162,Collège Saint-Joseph - La Salle,Privé,99.84,14.299999999999999,91.5
7,510,Collège Michelet,Public,94.44,13.675,91.25
8,1126,Collège Saint-Thomas d'Aquin,Privé,99.8,12.95,88.25
9,1741,Collège OHR Torah,Privé,100,12.45,87.5
10,1868,Collège Sainte-Marie de Nevers,Privé,99.6,13.100000000000001,85
11,2004,Collège des Ponts-Jumeaux,Public,90,12.575,89.75
12,3457,Collège Sainte-Famille des Minimes,Privé,98.42,13.375,79.25
13,3502,Collège Pierre de Fermat,Public,85.8,12.55,86.5
14,3551,Collège Emile Zola,Public,92.78,12,85.75
15,3631,Collège Bellevue,Public,88.9,12.174999999999999,86.25
16,3919,Collège Marengo,Public,85.14,11.649999999999999,88.25
17,4056,Collège Jean-Pierre Vernant,Public,87.1,11.375,88
18,4123,Collège Les Chalets,Public,86.46000000000001,11.5,87.5
19,4140,Collège La Prairie,Privé,95.1,12.325000000000001,81.5
20,4937,Collège Alphonse de Lamartine,Public,87.66,10.625,86.75
21,5025,Collège Sainte-Marie des Ursulines,Privé,97.38,11.65,79.25
22,5058,Collège Jean Moulin,Public,86.06,11.25,84.5
23,5178,Collège Nougaro,Public,83.76,10.725000000000001,86.5
24,5280,Collège Les Maristes Toulouse,Privé,97.52000000000001,11.875,77
25,5562,Collège Anatole France,Public,85.67999999999999,10.025,86
26,5825,Collège Jeanne et Jean Phillipe,Public,75,9.85,88.5
27,5830,Collège Maurice Bécanne,Public,80.66,10.7,83.5
28,6008,Collège Hubertine Auclert,Public,81.67999999999999,9.75,85
29,6194,Collège Marcelin Berthelot,Public,79.36,10.375,82
30,6221,Collège Nicolas Vauquelin,Public,81.38,9.600000000000001,83.75
31,6246,Collège George Sand,Public,82.9,8.875,85.5
32,6263,Collège Clémence Isaure,Public,81.9,10,81.75
33,6418,Collège Jolimont,Public,82.38,9.825,80.5
34,6470,Collège Henri de Toulouse-Lautrec,Public,74.46000000000001,8.9,86
35,6501,Collège Sabine Weiss,Public,81,9.65,80.5
36,6683,Collège Stendhal,Public,75.66,8.8,80.75
37,6710,Collège Rosa Parks,Public,75.42,8.125,82.25
