,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,30,Collège Emilie de Rodat,Privé,99.62,15.45,92.5
2,79,Collège Saint-Louis,Privé,99.53999999999999,13.2,97.5
3,117,Collège Saint-Joseph,Privé,99.75999999999999,14.3,92
4,152,Collège Saint-Nicolas,Privé,99.62,13.4,94.5
5,183,Collège Le Caousou,Privé,99.14000000000001,14.45,90.5
6,546,Collège Michelet - annexe,Public,95.03999999999999,13.75,90.5
7,681,Collège Saint-Thomas d'Aquin,Privé,98.82000000000001,12.75,91.5
8,1471,Collège des Ponts-Jumeaux,Public,87.96000000000001,12.6,92.5
9,1570,Collège Sainte-Famille des Minimes,Privé,98.82000000000001,13,86.5
10,1711,Collège Sainte-Marie de Nevers,Privé,98.46000000000001,13.2,85.5
11,2757,Collège Pierre de Fermat,Public,88.4,12.55,88
12,3250,Collège Bellevue,Public,87.82,12.15,88
13,3419,Collège Emile Zola,Public,93.16,12.25,85
14,4052,Collège Jean-Pierre Vernant,Public,88.64,11.4,87.5
15,4279,Collège Les Chalets,Public,88.84,11.100000000000001,87.5
16,4346,Collège Marengo,Public,87.2,11.05,88
17,4927,Collège Les Maristes,Privé,97.74000000000001,11.85,78.5
18,4982,Collège Maurice Becanne,Public,82.76,10.55,88.5
19,5060,Collège Jean Moulin,Public,86.72,11,85
20,5139,Collège La Prairie,Privé,91.3,12.8,76.5
21,5224,Collège Anatole France,Public,87.88,10,87
22,5447,Collège Claude Nougaro,Public,87.00000000000001,10.85,83
23,5536,Collège Sainte-Marie des Ursulines,Privé,96.97999999999999,11.45,76.5
24,5656,Collège Alphonse de Lamartine,Public,79.6,10.55,85.5
25,5841,Collège Hubertine Auclert,Public,79.41999999999999,9.55,87.5
26,5965,Collège Nicolas-Louis Vauquelin,Public,84.78,9.65,84
27,6012,Collège Clémence Isaure,Public,80.26,9.9,84.5
28,6204,Collège Marcelin Berthelot,Public,80.2,10.15,81.5
29,6219,Collège Toulouse Lautrec,Public,76.82000000000001,9.3,85.5
30,6348,Collège Jolimont,Public,80.6,9.55,81
31,6428,Collège George Sand,Public,79.9,8.2,84.5
32,6467,Collège Rosa PARKS,Public,74.44,7.800000000000001,87
33,6518,Collège Stendhal,Public,75.03999999999999,9.1,80.5
