,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,11,Collège le Gymnase Lucie Berger et Jean Sturm,Privé,99.6,15.499999999999998,95
2,55,Collège Institution La Providence - Fondation Providence Ribeauvillé,Privé,100,15.2,91.25
3,125,Collège Institution Notre-Dame,Privé,99.4,13.975000000000001,93.5
4,178,Collège Episcopal Saint Etienne (Collège),Privé,100,13.925,92.25
5,300,Collège Ecole Libre Sainte Anne,Privé,99.44,12.950000000000001,94
6,908,Collège Institution La Doctrine Chrétienne,Privé,98.56,13.075,89.25
7,1567,Collège Foch,Public,95.36,11.95,91.5
8,2854,Collège Ecole Aquiba,Privé,96.775,13.666666666666666,80.66666666666667
9,3725,Collège international de l'Esplanade,Public,88.7,11.799999999999999,87.25
10,4018,Collège Notre-Dame de Sion,Privé,97.47999999999999,13.149999999999999,78.25
11,5443,Collège Louise Weiss,Public,85.42,9.825,87.5
12,5869,Collège Caroline Aigle,Public,80.32000000000001,9.875,86.25
13,5966,Collège Kléber,Public,79.5,9.674999999999999,86.5
14,6135,Collège Jules Hoffmann,Public,80.66,10.100000000000001,83
15,6205,Collège Jacques Twinger,Public,76.88,9.025,87.5
16,6211,Collège Erasme,Public,81.4,8.475000000000001,87.75
17,6303,Collège International Vauban,Public,90.96000000000001,11.1,74.25
18,6308,Collège Louis Pasteur,Public,81.42,9.7,82.5
19,6395,Collège Lezay Marnésia,Public,79.52000000000001,8.450000000000001,86.75
20,6417,Collège François Truffaut,Public,85.3,8.45,84.25
21,6520,Collège Hans Arp,Public,79.14,8.75,84
22,6616,Collège Jean Monnet,Public,79.03999999999999,8.35,83.25
23,6721,Collège Sophie Germain,Public,73.64,7.5,84.5
24,6761,Collège Solignac,Public,72.24,7.2,84
25,6830,Collège Stockfeld,Public,65.67999999999999,7.55,77.5
