,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,26,Collège Saint-Joseph du Loquidy,Privé,99.92,15.25,93.5
2,131,Collège la Perverie Sacré-Coeur,Privé,98.88,14.05,93
3,422,Collège Externat des enfants Nantais,Privé,96.36,14.05,90
4,589,Collège Blanche de Castille,Privé,99.17999999999999,13.9,88
5,606,Collège Gaston Serpette,Public,91.8,13.25,93
6,822,Collège Chavagnes,Privé,100,14.25,85
7,1085,Collège Saint-Stanislas,Privé,99.35999999999999,13.65,86
8,2435,Collège Notre-Dame de Toutes Aides,Privé,95.46000000000001,12.35,87
9,2457,Collège Victor Hugo,Public,95.24,13.649999999999999,82.5
10,2887,Collège Saint-Donatien,Privé,95.68,13.05,83
11,2891,Collège Hector Berlioz,Public,87.5,11.8,90.5
12,3176,Collège Chantenay,Public,88.53999999999999,11.7,89.5
13,4221,Collège Aristide Briand,Public,88.5,11.35,87
14,4785,Collège Sainte Madeleine Joliverie,Privé,98.1,11.75,79.5
15,5179,Collège Theophane Venard,Privé,91.67999999999999,11.1,82
16,5668,Collège Simone Veil,Public,86.16,10.65,82.5
17,6000,Collège la Noe Lambert,Public,78.28,10.45,83.5
18,6042,Collège de Bretagne,Privé,76.05,9,89
19,6151,Collège Saint Jacques de Compostelle,Privé,95.95,11,73
20,6275,Collège Libertaire Rutigliano,Public,77.02000000000001,10.75,79.5
21,6365,Collège La Colinière,Public,82.28,11,75
22,6441,Collège Sophie Germain,Public,79.24,9.65,79.5
23,6504,Collège Claude Debussy,Public,69.85999999999999,8.3,86
24,6524,Collège Saint-Martin,Privé,91.48,10.05,70.5
25,6573,Collège Stendhal,Public,67.8,9.4,79.5
26,6654,Collège La Durantière,Public,76.47999999999999,8.7,71
27,6679,Collège Saint Raphaël,Privé,79.16,9.149999999999999,46.5
